setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sIlbs,298.15,100,1219,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,300.15,100,1217,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,306.15,100,1213,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,312.15,100,1208,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,318.15,100,1204,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,324.15,100,1199,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,330.15,100,1195,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,336.15,100,1191,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,341.15,100,1187,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,348.15,100,1182,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,355.15,100,1177,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,361.15,100,1173,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
sIlbs,373.15,100,1165,Sanchez-Ramirez et al. (2017),Density,Liquid,ABTCkM,CCCCC[P+](CC)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,triethyl(pentyl)phosphonium bis(fluorosulfonyl)amide,,,,,,
