setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,Mole fraction of N-methylpyrrolidone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sUFNo,293.15,0.1032,0.6024,100,1102.35,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.1227,0.5874,100,1110.19,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.1475,0.5684,100,1119.78,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.1642,0.5563,100,1125.96,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.1827,0.5429,100,1132.46,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.2039,0.5246,100,1139.9,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.2258,0.5046,100,1147.63,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.2435,0.4925,100,1153.35,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.2678,0.4734,100,1161.15,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.2809,0.4658,100,1164.96,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.2997,0.4479,100,1170.77,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.3126,0.4369,100,1174.57,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.3352,0.4156,100,1181.15,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.3543,0.4005,100,1186.31,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.3759,0.3865,100,1191.73,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.3927,0.3762,100,1195.77,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.4126,0.3574,100,1200.84,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.4322,0.3395,100,1205.61,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.4589,0.3194,100,1211.58,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.4698,0.3096,100,1214.04,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.4862,0.2959,100,1217.58,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.5024,0.2849,100,1220.72,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.5279,0.2645,100,1225.69,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.5424,0.2515,100,1228.56,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.5687,0.2326,100,1233.23,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
sUFNo,293.15,0.5874,0.2216,100,1236.34,Darolia et al. (2021),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAQTZI,O=C1CCCN1,2-pyrrolidinone
