setid,"Temperature, K",Mole fraction of 1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sqRvs,293.15,0.0504,100,1434.3,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
sqRvs,293.15,0.112,100,1432.6,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
sqRvs,293.15,0.2211,100,1429.8,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
sqRvs,293.15,0.3324,100,1427.1,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
sqRvs,293.15,0.4432,100,1424.6,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
sqRvs,293.15,0.5529,100,1422.7,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
sqRvs,293.15,0.6631,100,1421,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
sqRvs,293.15,0.774,100,1419.3,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
sqRvs,293.15,0.8828,100,1418,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
sqRvs,293.15,0.9517,100,1417.2,Larriba et al. (2015),Density,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,
