setid,"Temperature, K","MolaLity of tetra-iso-butyl ammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tqbdJ,278.15,0.010224,74.7,1000.51,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,278.15,0.020208,74.7,1001.05,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,278.15,0.029831,74.7,1001.57,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,278.15,0.038474,74.7,1002.04,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,278.15,0.048292,74.7,1002.57,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,278.15,0.056208,74.7,1002.99,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,278.15,0.068882,74.7,1003.67,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,278.15,0.076656,74.7,1004.08,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,278.15,0.086231,74.7,1004.6,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,278.15,0.100177,74.7,1005.35,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,283.15,0.010224,74.7,1000.24,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,283.15,0.020208,74.7,1000.77,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,283.15,0.029831,74.7,1001.29,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,283.15,0.038474,74.7,1001.75,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,283.15,0.048292,74.7,1002.27,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,283.15,0.056208,74.7,1002.68,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,283.15,0.068882,74.7,1003.34,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
tqbdJ,283.15,0.076656,74.7,1003.76,Moreno et al. (2015),Density,Liquid,AADYJk,O,water,ABJzxR,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C.[Br-],tetra-iso-butyl ammonium bromide,,,
