setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
udfZK,293.15,0,101,948.7,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
udfZK,293.15,0.0813,101,992.4,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
udfZK,293.15,0.1593,101,1027.1,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
udfZK,293.15,0.2399,101,1056.9,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
udfZK,293.15,0.3508,101,1090.5,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
udfZK,293.15,0.437,101,1112.3,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
udfZK,293.15,0.559,101,1138.1,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
udfZK,293.15,0.6443,101,1153.4,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
udfZK,293.15,0.7419,101,1169.1,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
udfZK,293.15,0.8488,101,1184.1,Sarkoohaki et al. (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
