setid,"Temperature, K",Mole fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vCEDE,298.15,0.0166,101,819.7,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,298.15,0.7641,101,1136.6,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,298.15,0.8166,101,1147.7,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,298.15,0.8558,101,1155.7,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,298.15,0.904,101,1165.1,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,318.15,0.0191,101,805.5,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,318.15,0.6961,101,1107.5,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,318.15,0.7777,101,1125.9,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,318.15,0.8535,101,1141.6,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,318.15,0.9084,101,1152.1,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
vCEDE,318.15,0.9479,101,1159.4,Ortega et al. (2007),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
