setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vHkQl,0.01925,298.15,101,1101.56,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.03427,298.15,101,1106.21,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.07837,298.15,101,1117.8,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.1247,298.15,101,1128.31,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.1866,298.15,101,1139.5,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.2554,298.15,101,1150.71,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.3251,298.15,101,1159.4,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.4423,298.15,101,1171.7,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.5246,298.15,101,1178.2,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.6132,298.15,101,1184.3,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
vHkQl,0.7494,298.15,101,1192.1,Stoppa et al. (2009),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
