setid,"Temperature, K",Mole fraction of 4-butyl-4-methylmorpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vcjAx,298.15,0,100,997.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.0017,100,1002.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.0033,100,1007.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.0066,100,1016.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.0088,100,1022.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.0167,100,1043.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.034,100,1081.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.0363,100,1086,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.0601,100,1125.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.0988,100,1170.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.1242,100,1192,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.154,100,1211.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.2027,100,1234.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.2383,100,1247.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.2569,100,1252.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,298.15,0.3007,100,1263.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0,100,995.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.0017,100,1000.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.0033,100,1005.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.0066,100,1015.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.0088,100,1021.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.0167,100,1041.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.034,100,1079.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.0363,100,1083.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.0601,100,1122.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
vcjAx,303.15,0.0988,100,1167.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAtpNd,CCCC[N+]1(C)CCOCC1.[Br-],4-butyl-4-methylmorpholinium bromide,,,
