setid,"Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Solvent: MolaLity of 1-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vowVP,288.15,0,0.1059,100,1001.8,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0,0.2999,100,1006.7,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.0806,0.1059,100,1004.4,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.0958,0.2999,100,1009.7,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.1288,0.1059,100,1006,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.1329,0.2999,100,1010.8,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.2782,0.2999,100,1015.4,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.29,0.1059,100,1011.4,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.3719,0.1059,100,1014.1,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.3917,0.2999,100,1019.1,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.4382,0.1059,100,1016.2,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.4552,0.2999,100,1021.1,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.542,0.2999,100,1023.9,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.5442,0.1059,100,1019.7,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.6606,0.1059,100,1023.6,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.677,0.2999,100,1028.4,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
vowVP,288.15,0.7978,0.2999,100,1032.4,Pal et al. (2015b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
