setid,"Temperature, K",Mole fraction of propyl ethanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wMaAv,288.14,1,101,893.7,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.15,0,101,1001.1,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.15,0.0454,101,998.9,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.15,0.1089,101,994.9,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.15,0.2022,101,988.9,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.15,0.6005,101,957.5,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.15,0.8036,101,930.8,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.16,0.304,101,982,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.16,0.4022,101,976.4,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.16,0.4999,101,968.2,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.16,0.7024,101,944.8,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.16,0.8978,101,913.7,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,288.16,0.9489,101,903.9,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,293.14,0.0454,101,995.7,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,293.14,0.1089,101,991.2,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,293.14,0.2022,101,984.9,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
wMaAv,293.14,0.4022,101,972.5,Alvarez et al. (2012),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,
