setid,Solvent: Weight fraction of 2-methoxyethan-1-ol,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wNlCs,0,288.15,0,101,999.2,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.00102,101,999.3,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.00198,101,999.4,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.00317,101,999.4,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.00399,101,999.4,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.00479,101,999.5,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.006,101,999.5,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.0069,101,999.6,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.00798,101,999.6,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.00856,101,999.6,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
