setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wgDCv,278.15,101.325,1174.1,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,283.15,101.325,1170.4,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,288.15,101.325,1166.8,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,293.15,101.325,1163.4,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,298.15,101.325,1160.1,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,303.15,101.325,1157,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,308.15,101.325,1153.7,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,313.15,101.325,1150.1,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,318.15,101.325,1147.1,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,323.15,101.325,1143.6,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,328.15,101.325,1140.3,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,333.15,101.325,1137.4,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,338.15,101.325,1134.2,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,343.15,101.325,1130.7,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,348.15,101.325,1127.5,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,353.15,101.325,1124.3,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,358.15,101.325,1121.1,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,363.15,101.325,1118,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,368.15,101.325,1114.8,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
wgDCv,373.15,101.325,1111.7,Martins et al. (2020),Density,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,
