setid,"Temperature, K",Mole fraction of trimethylammonium dihydrogen phosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wtHaA,298.15,0,101,1095.4,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
wtHaA,298.15,0.0264,101,1101.8,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
wtHaA,298.15,0.0397,101,1104.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
wtHaA,298.15,0.0708,101,1111.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
wtHaA,298.15,0.1172,101,1121.1,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
wtHaA,298.15,0.1673,101,1130.5,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
wtHaA,298.15,0.2284,101,1141,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
wtHaA,298.15,0.2934,101,1153,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
wtHaA,298.15,0.3413,101,1160.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
wtHaA,298.15,0.4012,101,1172.7,Govinda et al. (2013a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
