setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wuGBJ,278.15,101.325,1211.8,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,283.15,101.325,1207.4,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,288.15,101.325,1203.1,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,293.15,101.325,1198.9,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,298.15,101.325,1194.8,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,303.15,101.325,1190.7,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,308.15,101.325,1186.6,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,313.15,101.325,1182.6,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,318.15,101.325,1178.6,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,323.15,101.325,1174.5,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,328.15,101.325,1170.5,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,333.15,101.325,1166.5,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,338.15,101.325,1162.6,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,343.15,101.325,1158.6,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,348.15,101.325,1154.7,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,353.15,101.325,1150.7,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,358.15,101.325,1146.9,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
wuGBJ,363.15,101.325,1143,Rocha et al. (2013b),Density,Liquid,ACGQly,CCCCCCCCn1cc[n+](CCCCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
