setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium methylsulfate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xBWKC,293.15,0,101,900.5,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,293.15,0.8549,101,1296.6,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,293.15,0.8746,101,1301.1,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,293.15,0.9072,101,1308.3,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,293.15,0.9294,101,1313.3,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,293.15,0.9491,101,1317.7,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,293.15,1,101,1330.9,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,298.15,0,101,894.4,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,298.15,0.8549,101,1293,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,298.15,0.8746,101,1297.5,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,298.15,0.9072,101,1304.7,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,298.15,0.9294,101,1309.8,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,298.15,0.9491,101,1314.2,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,298.15,1,101,1327.2,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,303.15,0,101,888.2,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,303.15,0.8549,101,1289.3,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,303.15,0.8746,101,1293.8,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,303.15,0.9072,101,1301,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,303.15,0.9294,101,1306.2,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,303.15,0.9491,101,1310.7,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
xBWKC,303.15,1,101,1323.7,Pereiro and Rodriguez (2007a),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,
