setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xEKzl,298.15,100,1382,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,300.15,100,1380,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,306.15,100,1375,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,312.15,100,1370,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,318.15,100,1365,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,324.15,100,1360,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,330.15,100,1355,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,336.15,100,1349,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,341.15,100,1345,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,348.15,100,1339,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,355.15,100,1333,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,361.15,100,1329,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
xEKzl,373.15,100,1319,Sanchez-Ramirez et al. (2017),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
