setid,"Temperature, K",Mole fraction of methanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xUwpC,298.15,0,101,1427.86,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.0462,101,1423.37,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.0901,101,1418.77,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.1769,101,1408.88,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.2722,101,1396.02,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.3855,101,1376.42,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.568,101,1329.02,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.685,101,1279.72,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.798,101,1201.72,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.8984,101,1075.97,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,0.9467,101,973.15,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,298.15,1,101,786.66,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,303.15,0,101,1423.26,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,303.15,0.0462,101,1418.86,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,303.15,0.0901,101,1414.23,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,303.15,0.1769,101,1404.34,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
xUwpC,303.15,0.2722,101,1391.43,Gonzalez and Gonzalez (2014),Density,Liquid,AAGIBL,CO,methanol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
