setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","MolaLity of 2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xaGPv,0,0,85.9,298.15,1095.29,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0,0.0099,85.9,298.15,1095.61,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0,0.0307,85.9,298.15,1096.3,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0,0.0493,85.9,298.15,1096.92,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0,0.07,85.9,298.15,1097.62,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0,0.0911,85.9,298.15,1098.35,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0,0.1086,85.9,298.15,1098.95,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0,0.1311,85.9,298.15,1099.71,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0,0.1483,85.9,298.15,1100.31,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0,0.1717,85.9,298.15,1101.2,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0751,0,85.9,298.15,1099.03,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0751,0.0491,85.9,298.15,1100.65,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0751,0.069,85.9,298.15,1101.3,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0751,0.0934,85.9,298.15,1102.09,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0751,0.1081,85.9,298.15,1102.56,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
xaGPv,0.0751,0.1299,85.9,298.15,1103.25,Shekaari et al. (2013),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
