setid,"Temperature, K",Mole fraction of 1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xpcvY,293.15,0,100,789.6,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,0.0998,100,930,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,0.1999,100,1004.8,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,0.2997,100,1051.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,0.4,100,1083.1,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,0.5001,100,1104.5,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,0.6002,100,1120.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,0.6999,100,1132.6,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,0.8001,100,1142.2,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,0.8999,100,1150.5,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,293.15,1,100,1158,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0,100,781,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0.0998,100,923.2,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0.1999,100,998.2,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0.2997,100,1045,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0.4,100,1077,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0.5001,100,1098.6,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0.6002,100,1114.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0.6999,100,1126.7,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0.8001,100,1136.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,0.8999,100,1144.7,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,303.15,1,100,1152.1,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0,100,772.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0.0998,100,915.9,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0.1999,100,991.7,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0.2997,100,1038.6,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0.4,100,1071,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0.5001,100,1092.8,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0.6002,100,1108.4,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0.6999,100,1120.9,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0.8001,100,1130.5,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,0.8999,100,1139,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,313.15,1,100,1146.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0,100,763.4,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0.0998,100,910.2,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0.1999,100,985.4,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0.2997,100,1032.6,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0.4,100,1065.1,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0.5001,100,1086.9,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0.6002,100,1102.6,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0.6999,100,1115.1,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0.8001,100,1124.8,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,0.8999,100,1133.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,323.15,1,100,1140.7,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0,100,754.2,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0.0998,100,903,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0.1999,100,979.1,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0.2997,100,1026.5,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0.4,100,1059.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0.5001,100,1081.1,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0.6002,100,1096.9,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0.6999,100,1109.5,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0.8001,100,1119.2,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,0.8999,100,1127.8,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
xpcvY,333.15,1,100,1135.1,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAIsrh,CCO,ethanol,,,
