setid,Weight fraction of ethyl acetate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yLgtG,0.057,101,313,1242,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.094,101,313,1201,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.098,101,313,1199,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.109,101,313,1186.6,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.138,101,313,1167.4,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.142,101,313,1165.1,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.209,101,313,1127.2,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.264,101,313,1101.3,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.32,101,313,1076.2,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.346,101,313,1064.3,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
yLgtG,0.403,101,313,1037,Naydenov and Bart (2007),Density,Liquid mixture 2,Liquid mixture 1,,11,AALcAl,CC(=O)O,acetic acid,AAQxSq,CCOC(C)=O,ethyl acetate
