setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yrCoL,288.15,0.02077,101,0.428,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.03501,101,0.693,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.04004,101,0.726,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.06004,101,1.065,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.06961,101,1.192,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.07382,101,1.277,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.09696,101,1.615,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.11,101,1.82,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.1441,101,2.332,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.1682,101,2.689,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.199,101,3.11,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.2303,101,3.578,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.2399,101,3.725,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.2699,101,4.143,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.2844,101,4.341,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.2993,101,4.549,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.34,101,5.12,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.36,101,5.374,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.4297,101,6.244,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.5621,101,7.951,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,288.15,0.6811,101,9.302,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.02077,101,0.402,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.02871,101,0.449,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.03501,101,0.596,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.04004,101,0.628,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.0495,101,0.76,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.06004,101,0.93,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.06961,101,1.039,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.09697,101,1.417,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.1441,101,2.003,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.1682,101,2.312,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.199,101,2.72,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.2302,101,3.099,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.2399,101,3.217,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.2498,101,3.379,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.2699,101,3.575,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.2993,101,3.943,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.34,101,4.354,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.36,101,4.649,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.4297,101,5.425,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.5621,101,6.916,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,298.15,0.6811,101,8.112,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.03501,101,0.512,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.04004,101,0.512,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.06004,101,0.803,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.07382,101,0.968,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.11,101,1.36,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.1441,101,1.772,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.1682,101,1.967,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.199,101,2.315,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.2303,101,2.7,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
yrCoL,308.15,0.24,101,2.802,De Lisi et al. (1990b),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
