setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zLcOu,288.15,0,101,953.79,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
zLcOu,288.15,0.0086,101,957.7,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
zLcOu,288.15,0.0172,101,961.03,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
zLcOu,288.15,0.026,101,964.09,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
zLcOu,288.15,0.0351,101,967.36,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
zLcOu,288.15,0.0443,101,970.51,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
zLcOu,288.15,0.0541,101,973.65,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
zLcOu,288.15,0.0638,101,976.87,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
zLcOu,288.15,0.0738,101,979.65,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
zLcOu,288.15,0.0841,101,982.76,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
