setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zgpwy,278.15,101.325,1272.6,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,283.15,101.325,1268.1,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,288.15,101.325,1263.7,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,293.15,101.325,1259.3,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,298.15,101.325,1255,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,303.15,101.325,1250.7,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,308.15,101.325,1246.5,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,313.15,101.325,1242.2,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,318.15,101.325,1238,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,323.15,101.325,1233.8,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,328.15,101.325,1229.6,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,333.15,101.325,1225.5,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,338.15,101.325,1221.4,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,343.15,101.325,1217.2,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,348.15,101.325,1213.1,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,353.15,101.325,1209,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
zgpwy,358.15,101.325,1204.9,Rocha et al. (2013b),Density,Liquid,ABvbtx,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide",,,,,,
