setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
AnEAJ,303.15,0,101,1.46796,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,0.101,101,1.45828,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,0.199,101,1.4512,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,0.2951,101,1.446,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,0.3925,101,1.44198,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,0.5012,101,1.43884,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,0.6001,101,1.43659,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,0.7023,101,1.43464,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,0.8101,101,1.43296,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,0.9011,101,1.43183,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,303.15,1,101,1.43089,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0,101,1.4662,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0.101,101,1.45655,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0.199,101,1.44966,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0.2951,101,1.4445,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0.3925,101,1.44048,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0.5012,101,1.43741,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0.6001,101,1.43516,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0.7023,101,1.43318,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0.8101,101,1.4315,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,0.9011,101,1.43034,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,308.15,1,101,1.4294,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0,101,1.46438,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0.101,101,1.45486,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0.199,101,1.44811,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0.2951,101,1.44299,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0.3925,101,1.43899,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0.5012,101,1.436,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0.6001,101,1.43376,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0.7023,101,1.43176,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0.8101,101,1.43007,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,0.9011,101,1.4289,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,313.15,1,101,1.42796,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0,101,1.46268,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0.101,101,1.45325,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0.199,101,1.44661,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0.2951,101,1.44153,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0.3925,101,1.43753,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0.5012,101,1.43461,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0.6001,101,1.43235,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0.7023,101,1.43033,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0.8101,101,1.42861,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,0.9011,101,1.42744,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,318.15,1,101,1.4265,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,323.15,0,101,1.46079,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,323.15,0.101,101,1.45145,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,323.15,0.199,101,1.44497,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,323.15,0.2951,101,1.43993,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
AnEAJ,323.15,0.3925,101,1.43594,Akbar and Murugesan (2012),Refractive index,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
