setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
HRTLg,293.15,0,100,1.533,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.0484,100,1.526,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.0974,100,1.518,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.1946,100,1.501,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.2935,100,1.488,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.3921,100,1.475,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.4936,100,1.464,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.6024,100,1.454,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.694,100,1.447,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.7954,100,1.442,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.8999,100,1.437,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,0.9487,100,1.432,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,293.15,1,100,1.423,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0,100,1.528,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.0484,100,1.522,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.0974,100,1.514,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.1946,100,1.498,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.2935,100,1.484,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.3921,100,1.472,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.4936,100,1.461,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.6024,100,1.451,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.694,100,1.444,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.7954,100,1.439,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.8999,100,1.434,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,0.9487,100,1.43,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,303.15,1,100,1.421,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,313.15,0,100,1.523,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,313.15,0.0484,100,1.518,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,313.15,0.0974,100,1.51,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,313.15,0.1946,100,1.494,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,313.15,0.2935,100,1.48,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,313.15,0.3921,100,1.469,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
HRTLg,313.15,0.4936,100,1.459,Bahadur et al. (2016b),Refractive index,Liquid,AAXFxu,CC(=O)c1ccccc1,acetophenone,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
