setid,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JhvBE,353.15,101,450,1.4735,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,353.15,101,532,1.4664,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,353.15,101,632.8,1.4612,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,353.15,101,964,1.4544,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,353.15,101,1551,1.4507,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,363.15,101,450,1.4712,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,363.15,101,532,1.4642,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,363.15,101,632.8,1.4581,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,363.15,101,964,1.4509,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,363.15,101,1551,1.4482,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,373.15,101,450,1.4691,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,373.15,101,532,1.4618,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,373.15,101,632.8,1.4555,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,373.15,101,964,1.4484,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,373.15,101,1551,1.4462,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,383.15,101,450,1.4663,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,383.15,101,532,1.4589,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,383.15,101,632.8,1.4538,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
JhvBE,383.15,101,964,1.4472,Chiappe et al. (2017),Refractive index,Liquid,AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,,,,,
