setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JjlLx,288.15,0,101,1.37924,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
JjlLx,288.15,0.04997,101,1.38697,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
JjlLx,288.15,0.09937,101,1.39302,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
JjlLx,288.15,0.15041,101,1.39853,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
JjlLx,288.15,0.19951,101,1.40326,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
JjlLx,288.15,0.25077,101,1.40739,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
JjlLx,288.15,0.29966,101,1.411,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
JjlLx,288.15,0.39876,101,1.41689,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
JjlLx,288.15,0.50136,101,1.42209,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
JjlLx,288.15,0.60119,101,1.42562,Vercher et al. (2010b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
