setid,Mole fraction of triethylammonium hydrogen sulfate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
PDryE,0,101,298.15,1.33,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.0257,101,298.15,1.362,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.0373,101,298.15,1.373,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.0568,101,298.15,1.389,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.0756,101,298.15,1.403,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.0909,101,298.15,1.417,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.131,101,298.15,1.442,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.1925,101,298.15,1.473,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.2134,101,298.15,1.483,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.2656,101,298.15,1.5,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.2989,101,298.15,1.508,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.3387,101,298.15,1.515,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.3876,101,298.15,1.519,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.4853,101,298.15,1.521,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.5272,101,298.15,1.518,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.5756,101,298.15,1.515,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.6321,101,298.15,1.509,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.6988,101,298.15,1.504,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.7791,101,298.15,1.5,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,0.8772,101,298.15,1.501,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
PDryE,1,101,298.15,1.516,Umapathi et al. (2014),Refractive index,Liquid,AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,
