setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
PZfmC,293.15,0,101,1.40301,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.0694,101,1.40573,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.1387,101,1.40809,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.1889,101,1.40961,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.239,101,1.411,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.3354,101,1.41336,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.4317,101,1.41537,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.5005,101,1.41664,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.5693,101,1.41778,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.6532,101,1.41903,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.737,101,1.42015,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.7927,101,1.42082,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.8484,101,1.42145,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,0.9242,101,1.42223,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,293.15,1,101,1.42295,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,298.15,0,101,1.4002,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,298.15,0.0694,101,1.40309,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,298.15,0.1387,101,1.4056,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,298.15,0.1889,101,1.40721,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
PZfmC,298.15,0.239,101,1.40869,Chaudhary and Nain (2020b),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQcIw,C=CC(=O)OC,methyl propenoate,,,,
