setid,"Temperature, K","MolaLity of thiophene, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
QrmQE,288.15,0,86.5,1.5282,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.0186,86.5,1.5277,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.0221,86.5,1.5276,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.0358,86.5,1.5273,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.0433,86.5,1.5271,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.0632,86.5,1.5266,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.0727,86.5,1.5264,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.0952,86.5,1.5259,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.1142,86.5,1.5255,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.137,86.5,1.5251,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.1603,86.5,1.5247,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,288.15,0.1869,86.5,1.5242,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0,86.5,1.5268,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.0186,86.5,1.5261,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.0221,86.5,1.526,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.0358,86.5,1.5257,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.0433,86.5,1.5255,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.0632,86.5,1.5251,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.0727,86.5,1.5249,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.0952,86.5,1.5244,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.1142,86.5,1.524,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.137,86.5,1.5234,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.1603,86.5,1.5228,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,293.15,0.1869,86.5,1.5223,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0,86.5,1.5254,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.0186,86.5,1.5247,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.0221,86.5,1.5246,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.0358,86.5,1.5242,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.0433,86.5,1.5239,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.0632,86.5,1.5233,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.0727,86.5,1.523,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.0952,86.5,1.5224,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.1142,86.5,1.5219,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.137,86.5,1.5213,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.1603,86.5,1.5208,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,298.15,0.1869,86.5,1.5201,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,303.15,0,86.5,1.5237,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,303.15,0.0186,86.5,1.5227,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
QrmQE,303.15,0.0221,86.5,1.5226,Shekaari et al. (2016a),Refractive index,Liquid,AAQJSl,c1ccsc1,thiophene,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,
