setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
RmZlA,298.15,0,101,1.4205,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,298.15,0.2559,101,1.4253,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,298.15,0.3956,101,1.4258,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,298.15,0.4988,101,1.4256,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,298.15,0.6,101,1.4249,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,298.15,0.7021,101,1.4241,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,298.15,0.8993,101,1.4222,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,298.15,1,101,1.4215,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,303.15,0,101,1.4171,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,303.15,0.2559,101,1.4236,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,303.15,0.3956,101,1.4244,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,303.15,0.4988,101,1.4242,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,303.15,0.6,101,1.4235,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,303.15,0.7021,101,1.4225,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
RmZlA,303.15,0.8993,101,1.4207,Ciocirlan et al. (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
