setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
RuyVY,288.15,0,101,1.3794,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.0261,101,1.3841,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.0502,101,1.388,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.1,101,1.3949,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.1499,101,1.4006,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.2003,101,1.4053,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.3001,101,1.4128,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.3997,101,1.4184,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.4991,101,1.4228,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.6003,101,1.4263,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.7012,101,1.4292,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.7991,101,1.4316,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.8475,101,1.4327,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.8986,101,1.4337,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,0.948,101,1.4346,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,288.15,1,101,1.4355,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0,101,1.375,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0.0261,101,1.38,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0.0502,101,1.384,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0.1,101,1.3912,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0.1499,101,1.397,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0.2003,101,1.4019,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0.3001,101,1.4095,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0.3997,101,1.4153,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0.4991,101,1.4197,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
RuyVY,298.15,0.6003,101,1.4234,Vercher et al. (2018),Refractive index,Liquid,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,AALcwx,CC(C)O,propan-2-ol,,,,
