setid,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TGaXD,316.157,109,632.8,1.3854,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,317.033,109,632.8,1.3846,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,317.826,109,632.8,1.3838,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,318.513,109,632.8,1.3831,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,319.099,109,632.8,1.3825,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,319.574,109,632.8,1.3819,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,320.048,109,632.8,1.3814,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,320.549,109,632.8,1.3808,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,321.051,109,632.8,1.3801,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
TGaXD,321.493,109,632.8,1.3795,Guo et al. (2017b),Refractive index,Liquid mixture 2,Liquid mixture 1,,45,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,
