setid,Weight fraction of ethanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TRYUN,0.099,100,313.15,1.41392,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.099,10200,313.15,1.41392,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.231,100,313.15,1.40128,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.231,10200,313.15,1.40128,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.328,100,313.15,1.39325,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.328,10200,313.15,1.39325,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.529,100,313.15,1.37912,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.529,10200,313.15,1.37912,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.646,100,313.15,1.37165,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.646,10200,313.15,1.37165,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.74,100,313.15,1.36626,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.74,10200,313.15,1.36626,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.901,100,313.15,1.35782,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
TRYUN,0.901,10200,313.15,1.35782,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
