setid,"Temperature, K",Volume fraction of 1-butylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VCDFT,303.15,0,101,1.35702,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.0806,101,1.36595,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.1412,101,1.37218,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.2622,101,1.3839,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.3554,101,1.39236,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.4323,101,1.39905,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.561,101,1.40993,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.6685,101,1.41861,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.7512,101,1.42527,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.8213,101,1.43076,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.8742,101,1.43497,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.9217,101,1.43861,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,0.9612,101,1.44158,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,303.15,1,101,1.44454,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,313.15,0,101,1.3527,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,313.15,0.0802,101,1.36207,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,313.15,0.1405,101,1.36844,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,313.15,0.2611,101,1.38045,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,313.15,0.3541,101,1.389,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,313.15,0.4308,101,1.39575,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
VCDFT,313.15,0.5595,101,1.40676,Garcia-Mardones et al. (2013b),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
