setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VoUfl,288.15,0,101,1.4654,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,288.15,0.1002,101,1.4703,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,288.15,0.2002,101,1.4746,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,288.15,0.2997,101,1.4784,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,288.15,0.4001,101,1.4822,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,288.15,0.4995,101,1.4862,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,288.15,0.5998,101,1.4899,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,288.15,0.7003,101,1.4933,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,288.15,0.7998,101,1.4963,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
VoUfl,288.15,0.8999,101,1.4996,Zhang et al. (2017f),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,,
