setid,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
WDcub,283.15,101.325,1.53857,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,285.65,101.325,1.53776,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,288.15,101.325,1.53696,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,290.65,101.325,1.53615,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,293.15,101.325,1.53534,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,295.65,101.325,1.53454,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,298.15,101.325,1.53374,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,300.65,101.325,1.53292,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,303.15,101.325,1.53214,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,305.65,101.325,1.53134,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,308.15,101.325,1.53053,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,310.65,101.325,1.52975,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,313.15,101.325,1.52894,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,315.65,101.325,1.52811,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,318.15,101.325,1.52728,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,320.65,101.325,1.52649,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,323.15,101.325,1.5257,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,325.65,101.325,1.52488,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
WDcub,328.15,101.325,1.5241,Bandres et al. (2008b),Refractive index,Liquid,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,,,,,
