setid,"Temperature, K",Mole fraction of propan-2-ol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
dfDim,293.15,0,100,1.4272,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
dfDim,293.15,0.096,100,1.4259,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
dfDim,293.15,0.2045,100,1.4242,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
dfDim,293.15,0.3101,100,1.4223,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
dfDim,293.15,0.4056,100,1.4202,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
dfDim,293.15,0.4987,100,1.4177,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
dfDim,293.15,0.5916,100,1.4146,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
dfDim,293.15,0.7088,100,1.4094,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
dfDim,293.15,0.8015,100,1.4036,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
dfDim,293.15,0.9193,100,1.3916,Warminska and Cichowska-Kopczynska (2022),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABlkEe,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,,,,
