setid,Mole fraction of methyl ethanoate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
eUKrm,0,101,288.15,1.4599,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.0512,101,288.15,1.4582,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.1336,101,288.15,1.4546,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.2149,101,288.15,1.4516,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.3045,101,288.15,1.4459,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.403,101,288.15,1.4402,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.5063,101,288.15,1.4332,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.5982,101,288.15,1.4252,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.6976,101,288.15,1.4147,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.7999,101,288.15,1.4017,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.9011,101,288.15,1.3847,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,0.9512,101,288.15,1.375,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
eUKrm,1,101,288.15,1.365,Alvarez et al. (2012),Refractive index,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,AAkops,CCCCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium hexanoate,,,,
