setid,Mole fraction of 3-methyl-2-butanone,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
gGmoS,0.0507,100,298.15,1.4818,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.0987,100,298.15,1.481,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.2006,100,298.15,1.479,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.3007,100,298.15,1.4766,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.399,100,298.15,1.4738,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.5,100,298.15,1.4697,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.5998,100,298.15,1.4644,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.7,100,298.15,1.457,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.7996,100,298.15,1.4485,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.9001,100,298.15,1.428,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
gGmoS,0.9499,100,298.15,1.4112,Lee et al. (2017),Refractive index,Liquid,AAQdmS,CC(=O)C(C)C,3-methyl-2-butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
