setid,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
mFQMq,100,288.15,1.49778,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,293.15,1.4964,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,298.15,1.49502,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,303.15,1.49365,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,308.15,1.49333,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,313.15,1.49198,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,318.15,1.49061,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,323.15,1.48921,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,328.15,1.48744,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,333.15,1.4859,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,338.15,1.48437,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,343.15,1.48287,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,348.15,1.48142,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
mFQMq,100,353.15,1.48003,Lee et al. (2016),Refractive index,Liquid,ABmkOz,CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,tetrabutylphosphonium 2-(bis(2-hydroxyethyl)amino)ethanesulfonate,,,,,,,
