setid,"MolaLity of 1-hexylpyridinium nitrate, mol/kg","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
mIlax,0.1015,101,298.15,1.3451,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
mIlax,0.2027,101,298.15,1.3485,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
mIlax,0.3058,101,298.15,1.3515,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
mIlax,0.4001,101,298.15,1.3543,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
mIlax,0.5026,101,298.15,1.3576,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
mIlax,0.6047,101,298.15,1.3627,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
mIlax,0.7053,101,298.15,1.3651,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
mIlax,0.8052,101,298.15,1.3658,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
mIlax,0.9002,101,298.15,1.3677,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
mIlax,0.9983,101,298.15,1.3701,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,,
