setid,"Temperature, K","MolaLity of 1-methyl-3-pentylimidazolium chloride, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
mwctH,298.15,0.014,101,1.3331,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
mwctH,298.15,0.0263,101,1.3334,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
mwctH,298.15,0.0391,101,1.3338,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
mwctH,298.15,0.0518,101,1.3342,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
mwctH,298.15,0.0634,101,1.3344,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
mwctH,298.15,0.084,101,1.3351,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
mwctH,298.15,0.1007,101,1.3358,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
mwctH,298.15,0.1369,101,1.3367,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
mwctH,298.15,0.1784,101,1.3379,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
mwctH,298.15,0.2198,101,1.3392,Shekaari et al. (2009),Refractive index,Liquid,AADYJk,O,water,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,,,,
