setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ouNYE,298.15,0,101,1.41967,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,0.0859,101,1.42308,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,0.192,101,1.42601,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,0.2914,101,1.42812,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,0.3963,101,1.42935,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,0.4955,101,1.43039,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,0.5947,101,1.43124,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,0.69,101,1.43181,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,0.7938,101,1.43221,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,0.8893,101,1.43262,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,298.15,1,101,1.43296,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0,101,1.4148,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0.0859,101,1.41854,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0.192,101,1.42173,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0.2914,101,1.42412,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0.3963,101,1.42549,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0.4955,101,1.42664,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0.5947,101,1.42746,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0.69,101,1.42809,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0.7938,101,1.42865,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,0.8893,101,1.42907,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,308.15,1,101,1.42939,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0,101,1.40993,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0.0859,101,1.41465,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0.192,101,1.41833,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0.2914,101,1.42107,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0.3963,101,1.42264,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0.4955,101,1.42387,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0.5947,101,1.42483,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0.69,101,1.42548,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0.7938,101,1.42605,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,0.8893,101,1.42628,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ouNYE,318.15,1,101,1.42684,Ijardar and Malek (2014),Refractive index,Liquid,AAQxnz,C1COCCO1,"1,4-dioxane",ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
