setid,Mole fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
pjCsg,0.124,298.15,101.3,1.44635,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
pjCsg,0.124,303.15,101.3,1.44489,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
pjCsg,0.124,308.15,101.3,1.44343,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
pjCsg,0.124,313.15,101.3,1.44195,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
pjCsg,0.124,318.15,101.3,1.4405,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
pjCsg,0.124,323.15,101.3,1.43906,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
pjCsg,0.124,328.15,101.3,1.43777,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
pjCsg,0.124,333.15,101.3,1.43633,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
pjCsg,0.124,338.15,101.3,1.43494,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
pjCsg,0.124,343.15,101.3,1.43355,Gonzalez et al. (2015b),Refractive index,Liquid,AADYJk,O,water,ABZTch,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,
