setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qCkBu,293.15,0,101.3,1.55427,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,0.1032,101.3,1.53689,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,0.2037,101.3,1.51931,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,0.285,101.3,1.50559,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,0.383,101.3,1.49127,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,0.4978,101.3,1.47953,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,0.5939,101.3,1.46822,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,0.7016,101.3,1.45686,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,0.7942,101.3,1.44455,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,0.9002,101.3,1.43231,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,293.15,1,101.3,1.42229,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0,101.3,1.55176,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0.1032,101.3,1.53472,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0.2037,101.3,1.5173,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0.285,101.3,1.50381,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0.383,101.3,1.48957,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0.4978,101.3,1.47794,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0.5939,101.3,1.4667,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0.7016,101.3,1.45542,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0.7942,101.3,1.44339,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,0.9002,101.3,1.43125,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,298.15,1,101.3,1.42178,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0,101.3,1.54924,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0.1032,101.3,1.53261,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0.2037,101.3,1.51538,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0.285,101.3,1.50195,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0.383,101.3,1.48784,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0.4978,101.3,1.47633,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0.5939,101.3,1.46516,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0.7016,101.3,1.45404,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0.7942,101.3,1.44217,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,0.9002,101.3,1.43012,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,303.15,1,101.3,1.42052,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0,101.3,1.54672,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0.1032,101.3,1.5304,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0.2037,101.3,1.51335,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0.285,101.3,1.49994,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0.383,101.3,1.48598,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0.4978,101.3,1.47453,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0.5939,101.3,1.46355,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0.7016,101.3,1.45248,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0.7942,101.3,1.44083,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,0.9002,101.3,1.42882,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,308.15,1,101.3,1.41918,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,313.15,0,101.3,1.54422,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,313.15,0.1032,101.3,1.52821,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,313.15,0.2037,101.3,1.51134,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,313.15,0.285,101.3,1.49811,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,313.15,0.383,101.3,1.48415,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,313.15,0.4978,101.3,1.47288,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,313.15,0.5939,101.3,1.46188,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,313.15,0.7016,101.3,1.45102,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
qCkBu,313.15,0.7942,101.3,1.43945,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,,
