setid,"Temperature, K",Mole fraction of propan-1-ol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qqxYm,298.15,0,101,1.42064,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.0938,101,1.41963,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.1942,101,1.41841,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.3092,101,1.41669,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.3925,101,1.41523,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.5031,101,1.41287,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.6035,101,1.41013,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.6084,101,1.40996,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.6973,101,1.40685,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.8048,101,1.40163,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.8994,101,1.39494,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,0.9465,101,1.39023,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,298.15,1,101,1.38309,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,303.15,0,101,1.41926,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,303.15,0.0938,101,1.41825,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,303.15,0.1942,101,1.41693,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,303.15,0.3092,101,1.41521,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,303.15,0.3925,101,1.41377,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,303.15,0.5031,101,1.41135,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,303.15,0.6035,101,1.40858,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,303.15,0.6084,101,1.40837,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
qqxYm,303.15,0.6973,101,1.40519,Gonzalez and Gonzalez (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,
