setid,Mole ratio to solvent: tetrapropylammonium bromide,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
qtFJf,0.25,293.4,100,1.473,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.25,303.2,100,1.4695,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.25,313.4,100,1.4667,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.25,323.2,100,1.4633,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.25,333.1,100,1.4602,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.25,343.6,100,1.457,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.25,353.6,100,1.454,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.3333,293.2,100,1.4749,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.3333,303.4,100,1.4729,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.3333,313.2,100,1.4698,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.3333,323.1,100,1.467,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.3333,333.1,100,1.4639,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.3333,343.3,100,1.4604,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.3333,353.5,100,1.4573,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.4,293.2,100,1.476,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.4,303.2,100,1.471,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.4,313.2,100,1.4702,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.4,323.6,100,1.4668,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.4,333.1,100,1.4637,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.4,343.1,100,1.4608,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
qtFJf,0.4,353.3,100,1.4574,Jibril et al. (2014),Refractive index,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,,
