setid,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
sDUFN,288.15,101,1.452,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,293.15,101,1.451,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,298.15,101,1.4499,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,303.15,101,1.4489,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,308.15,101,1.4479,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,313.15,101,1.4468,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,318.15,101,1.4458,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,323.15,101,1.4447,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,328.15,101,1.4436,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,333.15,101,1.4427,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,338.15,101,1.4417,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,343.15,101,1.4406,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,348.15,101,1.4395,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
sDUFN,353.15,101,1.4385,Wang et al. (2023b),Refractive index,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,,,,,,,
