setid,Mole ratio to solvent: tetrabutylammonium chloride,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tCICH,9,313.15,100,1.477,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,9,323.15,100,1.474,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,9,333.15,100,1.471,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,9,343.15,100,1.468,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,9,353.15,100,1.465,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,10,313.15,100,1.478,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,10,323.15,100,1.475,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,10,333.15,100,1.472,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,10,343.15,100,1.469,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,10,353.15,100,1.466,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,11,313.15,100,1.478,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,11,323.15,100,1.475,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,11,333.15,100,1.472,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,11,343.15,100,1.469,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
tCICH,11,353.15,100,1.466,Mjalli and Al-Azzawi (2021),Refractive index,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,,,,
