setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tLXOI,288.15,0,81.5,1.40865,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,0.0996,81.5,1.43074,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,0.1991,81.5,1.44959,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,0.296,81.5,1.46541,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,0.4004,81.5,1.481,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,0.4991,81.5,1.49379,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,0.5982,81.5,1.50504,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,0.6966,81.5,1.5153,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,0.7991,81.5,1.52504,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,0.897,81.5,1.53307,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,288.15,1,81.5,1.54089,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0,81.5,1.40439,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0.0996,81.5,1.42687,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0.1991,81.5,1.44568,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0.296,81.5,1.46235,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0.4004,81.5,1.4774,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0.4991,81.5,1.4904,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0.5982,81.5,1.50179,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0.6966,81.5,1.51196,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0.7991,81.5,1.52204,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,0.897,81.5,1.53006,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,298.15,1,81.5,1.53744,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,308.15,0,81.5,1.40004,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,308.15,0.0996,81.5,1.4232,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,308.15,0.1991,81.5,1.44237,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,308.15,0.296,81.5,1.45896,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,308.15,0.4004,81.5,1.47409,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,308.15,0.4991,81.5,1.48726,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,308.15,0.5982,81.5,1.49874,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
tLXOI,308.15,0.6966,81.5,1.50857,Haghani et al. (2021),Refractive index,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAQxVB,CCCC(C)O,pentan-2-ol,,,,
