setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium methylsulfate","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
tYMuw,298,0,101.3,1.397,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,298,0.063,101.3,1.405,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,298,0.221,101.3,1.421,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,298,0.432,101.3,1.443,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,298,0.64,101.3,1.46,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,298,0.781,101.3,1.47,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,298,0.927,101.3,1.479,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,298,1,101.3,1.483,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,303,0,101.3,1.395,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,303,0.063,101.3,1.401,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,303,0.221,101.3,1.418,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,303,0.432,101.3,1.439,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,303,0.64,101.3,1.457,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,303,0.781,101.3,1.468,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,303,0.927,101.3,1.477,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,303,1,101.3,1.481,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,308,0,101.3,1.392,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,308,0.063,101.3,1.398,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,308,0.221,101.3,1.414,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,308,0.432,101.3,1.435,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,308,0.64,101.3,1.454,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,308,0.781,101.3,1.465,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,308,0.927,101.3,1.475,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,308,1,101.3,1.48,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
tYMuw,313,0,101.3,1.389,Alkhaldi et al. (2017a),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",,,,
