setid,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
wwopP,288.15,101.325,1.4809,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,293.15,101.325,1.4793,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,298.15,101.325,1.4782,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,303.15,101.325,1.4766,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,308.15,101.325,1.4751,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,313.15,101.325,1.474,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,318.15,101.325,1.4725,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,323.15,101.325,1.4713,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,328.15,101.325,1.4699,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,333.15,101.325,1.4685,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,338.15,101.325,1.4673,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
wwopP,343.15,101.325,1.4659,Singh and Kumar (2009),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
