setid,"Temperature, K",Mole fraction of 2-amino-2-methylpropan-1-ol,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zGEHD,293.15,0,81.5,1.50145,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,293.15,0.2,81.5,1.49486,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,293.15,0.4,81.5,1.48588,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,293.15,0.6,81.5,1.47468,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,293.15,0.8,81.5,1.46218,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,293.15,1,81.5,1.44859,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,303.15,0,81.5,1.49948,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,303.15,0.2,81.5,1.49263,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,303.15,0.4,81.5,1.4833,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,303.15,0.6,81.5,1.47159,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
zGEHD,303.15,0.8,81.5,1.45864,Shojaeian et al. (2021),Refractive index,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,
